#architectJa(誤)	(正)
岩㟢堅一・武蔵工業大学岩﨑研究室	岩﨑堅一・武蔵工業大学岩﨑研究室
ユー･アール･ユー総合研究所	ユー・アール・ユー総合研究所

KAJLMA DESIGN／押野見邦英＋若松久男	KAJIMA DESIGN／押野見邦英＋若松久男
KAJLMA DESIGN	KAJIMA DESIGN
小島一浩＋赤松佳珠子／CAT	小嶋一浩＋赤松佳珠子／CAT

隅研吾建築都市設計事務所	隈研吾建築都市設計事務所
青木淳建築設計事務所	青木淳建築計画事務所
山本・掘アーキテクツ	山本・堀アーキテクツ
古谷誠章＋NASCA	古谷誠章／NASCA
RSP ARCHITECTS PLANNERS ＆ ENGINEERS	RSP ARCHITECTS PLANNERS & ENGINEERS
ジオｰグラフィック・デザイン・ラボ	ジオ-グラフィック・デザイン・ラボ
難波和彦＋界工作舍	難波和彦＋界工作舎
竹山実建築総合研究所	竹山実建築綜合研究所
小川晋ーアトリエ	小川晋一アトリエ
カルロス・ヴィラヌエヴァ・プラント	カルロス・ヴィラヌエヴァ・ブラント
栗山勉	葉山勉

KAJIMA DESIGN KANSAL	KAJIMA DESIGN KANSAI
岩瀬諒子設計事務所／岩瀬諒子+遠藤郁	岩瀬諒子設計事務所／岩瀬諒子＋遠藤郁
