duplicate_name_en,occurrence_count,name_ja,source_architect_id,source_line
"JV",158,"設計共同企業体",2728,1204
"JV",158,"設計共同企業体",3143,1360
"JV",158,"共同体",3162,1367
"JV",158,"設計共同企業体",3172,1372
"JV",158,"設計共同体",3540,1521
"JV",158,"共同設計室",3825,1649
"JV",158,"共同企業体",3894,1683
"JV",158,"業務特別共同企業体",3914,1697
"JV",158,"設計共同企業体",3982,1726
"JV",158,"設計共同体",4020,1749
"JV",158,"設計監理共同企業体",4156,1804
"JV",158,"設計共同企業体",4313,1863
"JV",158,"設計共同企業体",4344,1876
"JV",158,"設計共同体",4354,1880
"JV",158,"特定共同企業体",4355,1881
"JV",158,"設計監理共同体",4361,1883
"JV",158,"設計共同企業体",4394,1891
"JV",158,"沖縄県立武道館設計共同企業体",4493,1928
"JV",158,"新本社ビル設計共同企業体",4542,1947
"JV",158,"共同企業体",4635,1993
"JV",158,"山梨ITセンター設計共同企業体",4733,2022
"JV",158,"設計共同企業体",4940,2122
"JV",158,"黒川・イプスタイン・アラップ共同企業体",4953,2134
"JV",158,"共同企業体",4974,2149
"JV",158,"設計共同企業体",5088,2196
"JV",158,"設計監理共同企業体",5163,2236
"JV",158,"共同企業体",5164,2237
"JV",158,"森林文化アカデミー（仮称）建築設計業務特別共同企業体",5190,2246
"JV",158,"設計共同企業体",5195,2249
"JV",158,"特定設計業務共同企業体",5203,2255
"JV",158,"設計共同企業体",5216,2259
"JV",158,"設計共同企業体",5244,2276
"JV",158,"設計共同企業体",5264,2287
"JV",158,"設計共同体",5369,2338
"JV",158,"設計共同体",5388,2348
"JV",158,"大成・五洋・古久根建設工事共同企業体",5526,2414
"JV",158,"安井・雅禧・西島・熊平設計共同体",5563,2435
"JV",158,"共同企業体",5693,2498
"JV",158,"設計共同体",5743,2529
"JV",158,"設計共同企業体",5758,2536
"JV",158,"設計共同企業体",5760,2538
"JV",158,"企業体",5815,2565
"JV",158,"企業体",5816,2566
"JV",158,"特定建設工事設計・施工連合体",5862,2589
"JV",158,"設計共同体",5897,2606
"JV",158,"大崎・総合設備・トーホー設備・森川設計業務共同企業体",5979,2646
"JV",158,"設計共同体",6021,2672
"JV",158,"設計共同体",6022,2673
"JV",158,"設計監理共同体",6037,2682
"JV",158,"設計共同体",6046,2689
"JV",158,"設計共同企業体",6118,2727
"JV",158,"設計共同体",6190,2761
"JV",158,"設計業務特別共同企業体",6254,2787
"JV",158,"共同企業体",6286,2801
"JV",158,"共同体",6357,2826
"JV",158,"設計共同企業体",6379,2836
"JV",158,"設計共同企業体",6393,2845
"JV",158,"設計共同企業体",6402,2852
"JV",158,"設計共同体",6492,2900
"JV",158,"設計共同体",6680,3001
"JV",158,"設計共同企業体",6711,3015
"JV",158,"設計監理共同企業体",6728,3021
"JV",158,"設計共同体",6845,3070
"JV",158,"設計共同企業体",6850,3073
"JV",158,"共同企業体",6869,3085
"JV",158,"共同企業体",6897,3100
"JV",158,"A・W・A設計共同体",6955,3130
"JV",158,"設計共同企業体",7009,3156
"JV",158,"共同企業体",7016,3161
"JV",158,"設計共同体",7118,3213
"JV",158,"設計共同体",7182,3233
"JV",158,"共同企業体",7202,3244
"JV",158,"設計共同体",7242,3272
"JV",158,"共同体",7261,3283
"JV",158,"出雲市新庁舎設計共同体",7291,3298
"JV",158,"共同企業体",7402,3348
"JV",158,"共同体",7495,3395
"JV",158,"共同企業体",7605,3456
"JV",158,"設計・工事監理共同企業体",7696,3510
"JV",158,"設計共同体",7758,3543
"JV",158,"同志社大学今出川キャンパス整備設計共同企業体",7814,3568
"JV",158,"共同企業体",7825,3573
"JV",158,"共同企業体",7839,3577
"JV",158,"異業種特定建設共同企業体",7852,3587
"JV",158,"東京駅八重洲開発設計共同企業体",7879,3597
"JV",158,"共同企業体",7901,3607
"JV",158,"設計共同体",7915,3615
"JV",158,"設計共同体",7929,3627
"JV",158,"設計監理共同事業体",7930,3628
"JV",158,"設計共同体",8066,3697
"JV",158,"設計共同企業体",8084,3706
"JV",158,"設計共同体",8099,3717
"JV",158,"飯田橋駅西口地区市街地再開発事業施設建築物実施設計共同企業体",8116,3728
"JV",158,"設計共同企業体",8164,3756
"JV",158,"共同企業体",8169,3757
"JV",158,"設計共同企業体",8172,3758
"JV",158,"設計共同体",8293,3823
"JV",158,"大林・藤井・岡野・きんでん・東洋熱工業特定建設工事共同企業体",8349,3856
"JV",158,"設計共同企業体",8351,3858
"JV",158,"設計共同体",8358,3862
"JV",158,"設計共同体",8363,3863
"JV",158,"共同企業体",8366,3864
"JV",158,"設計共同体",8396,3880
"JV",158,"設計共同体",8399,3882
"JV",158,"竹中・長建・ワシヅ設計共同企業体",8527,3955
"JV",158,"共同企業体",8529,3956
"JV",158,"共同企業体",8531,3958
"JV",158,"設計監理共同企業体",8585,3985
"JV",158,"設計共同企業体",8595,3992
"JV",158,"設計共同体",8596,3993
"JV",158,"共同企業体",8617,4006
"JV",158,"共同企業体",8653,4022
"JV",158,"異業種特定建設共同企業体",8714,4056
"JV",158,"設計共同体",8765,4083
"JV",158,"設計共同企業体",8777,4090
"JV",158,"東京駅丸の内広場整備設計共同企業体",8791,4101
"JV",158,"釜石市唐丹地区学校等建設工事設計業務特定設計共同体",8800,4105
"JV",158,"新庁舎免震改修工事等設計業務委託設計共同体",8812,4110
"JV",158,"共同提案体",8965,4194
"JV",158,"虎ノ門2-10計画設計共同体",8968,4197
"JV",158,"設計共同企業体",8971,4200
"JV",158,"設計共同企業体",9053,4247
"JV",158,"設計共同体",9071,4258
"JV",158,"共同企業体",9125,4291
"JV",158,"設計共同体",9143,4300
"JV",158,"設計共同体",9144,4301
"JV",158,"設計共同体",9154,4306
"JV",158,"設計共同体",9166,4314
"JV",158,"共同企業体",9214,4344
"JV",158,"設計共同企業体",9258,4374
"JV",158,"共同企業体",9349,4430
"JV",158,"設計共同体",9384,4451
"JV",158,"共同体",9392,4456
"JV",158,"共同企業体（BANJAC）",9396,4459
"JV",158,"共同企業体",9397,4460
"JV",158,"設計共同体",9403,4465
"JV",158,"設計共同企業体",9405,4467
"JV",158,"設計共同体",9439,4490
"JV",158,"設計共同企業体",9450,4498
"JV",158,"共同体",9511,4534
"JV",158,"設計企業体",9589,4572
"JV",158,"設計共同体",9600,4579
"JV",158,"設計共同体",9611,4588
"JV",158,"共同企業体",9613,4589
"JV",158,"特定建設工事設計・施工共同企業体",9614,4590
"JV",158,"設計共同企業体",9657,4615
"JV",158,"共同企業体",9744,4665
"JV",158,"設計共同企業体",9753,4667
"JV",158,"設計共同企業体",9768,4674
"JV",158,"設計共同体",9808,4695
"JV",158,"特定設計業務共同企業体",9868,4729
"JV",158,"企業体",9889,4744
"JV",158,"共同企業体",9904,4755
"JV",158,"設計共同体",9956,4780
"JV",158,"設計共同体",10073,4844
"JV",158,"特定建設関連業務委託共同体",10094,4852
"JV",158,"設計共同体",10127,4865
"JV",158,"共同企業体",10135,4869
"NIKKEN SEKKEI",145,"日建設計・大阪",11,12
"NIKKEN SEKKEI",145,"日建設計",17,17
"NIKKEN SEKKEI",145,"日建設計",152,121
"NIKKEN SEKKEI",145,"日建設計",542,303
"NIKKEN SEKKEI",145,"日建設計",1743,815
"NIKKEN SEKKEI",145,"日建設計",2374,1073
"NIKKEN SEKKEI",145,"日建設計",2476,1109
"NIKKEN SEKKEI",145,"日建設計",2637,1168
"NIKKEN SEKKEI",145,"日建設計",2796,1224
"NIKKEN SEKKEI",145,"日建設計",2954,1284
"NIKKEN SEKKEI",145,"日建設計",3644,1568
"NIKKEN SEKKEI",145,"日建設計",3680,1581
"NIKKEN SEKKEI",145,"日建設計",3691,1585
"NIKKEN SEKKEI",145,"日建設計",3765,1617
"NIKKEN SEKKEI",145,"日建設計",4110,1791
"NIKKEN SEKKEI",145,"日建設計",4266,1845
"NIKKEN SEKKEI",145,"日建設計",4267,1846
"NIKKEN SEKKEI",145,"日建設計",4316,1866
"NIKKEN SEKKEI",145,"日建設計",4330,1872
"NIKKEN SEKKEI",145,"日建設計",4398,1892
"NIKKEN SEKKEI",145,"日建設計",4542,1947
"NIKKEN SEKKEI",145,"日建設計",4707,2016
"NIKKEN SEKKEI",145,"日建設計",4745,2028
"NIKKEN SEKKEI",145,"日建設計",4777,2041
"NIKKEN SEKKEI",145,"日建設計",4845,2075
"NIKKEN SEKKEI",145,"日建設計",4846,2076
"NIKKEN SEKKEI",145,"日建設計",4973,2148
"NIKKEN SEKKEI",145,"日建設計",5077,2190
"NIKKEN SEKKEI",145,"日建設計",5088,2196
"NIKKEN SEKKEI",145,"日建設計",5195,2249
"NIKKEN SEKKEI",145,"日建設計",5234,2270
"NIKKEN SEKKEI",145,"日建設計",5277,2295
"NIKKEN SEKKEI",145,"日建設計",5372,2340
"NIKKEN SEKKEI",145,"日建設計",5477,2394
"NIKKEN SEKKEI",145,"日建設計",5667,2486
"NIKKEN SEKKEI",145,"日建設計",5757,2535
"NIKKEN SEKKEI",145,"日建設計",5825,2574
"NIKKEN SEKKEI",145,"日建設計",5915,2615
"NIKKEN SEKKEI",145,"日建設計",6037,2682
"NIKKEN SEKKEI",145,"日建設計",6288,2803
"NIKKEN SEKKEI",145,"川島克也＋岡田耕治／日建設計",6394,2846
"NIKKEN SEKKEI",145,"日建設計",6483,2894
"NIKKEN SEKKEI",145,"日建設計",6500,2908
"NIKKEN SEKKEI",145,"日建設計",6523,2920
"NIKKEN SEKKEI",145,"山梨知彦＋羽鳥達也／日建設計",6556,2940
"NIKKEN SEKKEI",145,"日建設計",6664,2994
"NIKKEN SEKKEI",145,"日建設計",6665,2995
"NIKKEN SEKKEI",145,"山梨知彦 芦田智之 勝矢武之／日建設計",6673,2999
"NIKKEN SEKKEI",145,"日建設計",6696,3011
"NIKKEN SEKKEI",145,"日建設計",6736,3027
"NIKKEN SEKKEI",145,"日建設計",6811,3055
"NIKKEN SEKKEI",145,"日建設計",6911,3109
"NIKKEN SEKKEI",145,"日建設計",6914,3111
"NIKKEN SEKKEI",145,"日建設計",6917,3114
"NIKKEN SEKKEI",145,"日建設計",7010,3157
"NIKKEN SEKKEI",145,"日建設計",7027,3166
"NIKKEN SEKKEI",145,"日建設計",7028,3167
"NIKKEN SEKKEI",145,"茅野秀真＋白井大之＋鈴木健悦／日建設計",7081,3193
"NIKKEN SEKKEI",145,"山梨知彦＋羽鳥達也＋石原嘉人＋川島範久／日建設計",7117,3212
"NIKKEN SEKKEI",145,"近藤彰宏＋塩田洋＋高嶋玲子／日建設計",7192,3238
"NIKKEN SEKKEI",145,"赤木隆＋下坂浩和／日建設計",7290,3297
"NIKKEN SEKKEI",145,"川島克也＋田中公康／日建設計",7291,3298
"NIKKEN SEKKEI",145,"日建設計",7426,3358
"NIKKEN SEKKEI",145,"日建設計",7555,3422
"NIKKEN SEKKEI",145,"日建設計",7606,3457
"NIKKEN SEKKEI",145,"日建設計",7696,3510
"NIKKEN SEKKEI",145,"日建設計",7734,3529
"NIKKEN SEKKEI",145,"日建設計",7735,3530
"NIKKEN SEKKEI",145,"日建設計",7755,3540
"NIKKEN SEKKEI",145,"岩崎克也＋竹内稔＋石崎健一／日建設計",7756,3541
"NIKKEN SEKKEI",145,"大谷弘明＋千本多加子／日建設計",7757,3542
"NIKKEN SEKKEI",145,"日建設計",7879,3597
"NIKKEN SEKKEI",145,"日建設計",7900,3606
"NIKKEN SEKKEI",145,"川島克也＋勝山太郎＋中島上／日建設計",7928,3626
"NIKKEN SEKKEI",145,"茅野秀真＋白井大之＋鈴木健悦＋森隆／日建設計",7931,3629
"NIKKEN SEKKEI",145,"日建設計",7970,3654
"NIKKEN SEKKEI",145,"山梨知彦＋羽鳥達也＋笹山恭代＋石原嘉人／日建設計",7983,3659
"NIKKEN SEKKEI",145,"日建設計",8024,3680
"NIKKEN SEKKEI",145,"日建設計",8083,3705
"NIKKEN SEKKEI",145,"日建設計",8085,3707
"NIKKEN SEKKEI",145,"日建設計",8116,3728
"NIKKEN SEKKEI",145,"川島克也＋近藤彰宏／日建設計",8127,3734
"NIKKEN SEKKEI",145,"日建設計",8169,3757
"NIKKEN SEKKEI",145,"日建設計／羽鳥達也",8198,3771
"NIKKEN SEKKEI",145,"日建設計",8238,3796
"NIKKEN SEKKEI",145,"河副智之＋河野信＋西川昌志／日建設計",8272,3809
"NIKKEN SEKKEI",145,"日建設計",8280,3815
"NIKKEN SEKKEI",145,"日建設計",8281,3816
"NIKKEN SEKKEI",145,"日建設計",8312,3836
"NIKKEN SEKKEI",145,"日建設計",8351,3858
"NIKKEN SEKKEI",145,"日建設計",8402,3884
"NIKKEN SEKKEI",145,"日建設計／中本太郎＋坂本隆之＋畑野了",8409,3888
"NIKKEN SEKKEI",145,"日建設計",8411,3889
"NIKKEN SEKKEI",145,"日建設計／川島克也＋近藤彰宏＋漆間一浩",8414,3892
"NIKKEN SEKKEI",145,"日建設計",8470,3923
"NIKKEN SEKKEI",145,"日建設計",8510,3946
"NIKKEN SEKKEI",145,"日建設計",8580,3981
"NIKKEN SEKKEI",145,"日建設計",8609,4002
"NIKKEN SEKKEI",145,"日建設計",8679,4039
"NIKKEN SEKKEI",145,"日建設計",8696,4047
"NIKKEN SEKKEI",145,"日建設計",8727,4061
"NIKKEN SEKKEI",145,"日建設計",8739,4068
"NIKKEN SEKKEI",145,"日建設計／中本太郎＋石原嘉人＋萩原裕加",8750,4072
"NIKKEN SEKKEI",145,"日建設計",8832,4122
"NIKKEN SEKKEI",145,"日建設計",8836,4124
"NIKKEN SEKKEI",145,"日建設計",8860,4135
"NIKKEN SEKKEI",145,"日建設計",8881,4145
"NIKKEN SEKKEI",145,"日建設計／川島克也＋山本武志＋上野山健太",8951,4187
"NIKKEN SEKKEI",145,"日建設計",8985,4207
"NIKKEN SEKKEI",145,"高橋秀通＋大庭拓也／日建設計",9015,4228
"NIKKEN SEKKEI",145,"川島克也＋岡田耕治＋伊藤佐恵／日建設計",9052,4246
"NIKKEN SEKKEI",145,"日建設計",9071,4258
"NIKKEN SEKKEI",145,"日建設計／羽鳥達也＋加瀬美和子＋松井一哲",9110,4282
"NIKKEN SEKKEI",145,"日建設計／高橋秀通＋勝矢武之＋大庭拓也＋高橋恵多",9120,4287
"NIKKEN SEKKEI",145,"日建設計／西岡理郎 坂本隆之",9126,4292
"NIKKEN SEKKEI",145,"日建設計",9163,4312
"NIKKEN SEKKEI",145,"日建設計／木村雅一＋三上愼司＋伊東宏和",9197,4333
"NIKKEN SEKKEI",145,"日建設計",9239,4359
"NIKKEN SEKKEI",145,"日建設計",9281,4389
"NIKKEN SEKKEI",145,"日建設計／太田幸司＋松井美奈歩",9282,4390
"NIKKEN SEKKEI",145,"日建設計／杉山俊一＋髙橋央＋甚内有紀＋藤田健児＋岡部真久",9292,4393
"NIKKEN SEKKEI",145,"日建設計／芦田智之＋恩田聡＋村上博昭",9338,4421
"NIKKEN SEKKEI",145,"日建設計",9339,4422
"NIKKEN SEKKEI",145,"日建設計",9341,4424
"NIKKEN SEKKEI",145,"日建設計／若林亮＋石森秀一＋木村征也",9350,4431
"NIKKEN SEKKEI",145,"日建設計",9351,4432
"NIKKEN SEKKEI",145,"日建設計／河野信＋西川昌志",9364,4437
