#architectEn誤	正

ARATA ISOZAKI ＆ Associates	ARATA ISOZAKI & ASSOCIATES
ARATA ISOZAKI and Associates architects	ARATA ISOZAKI & ASSOCIATES
Arata isozaki atelier	ARATA ISOZAKI & ASSOCIATES

NAITO ARCHITECTS & ASSOCIATES	NAITO ARCHITECT & ASSOCIATES
NAITO  ARCHITECT & ASSOCIATES	NAITO ARCHITECT & ASSOCIATES
NAITO ARCHITECT&ASSOCIATES	NAITO ARCHITECT & ASSOCIATES
HIROSHI NAITO/NAITO ARCHITECT & ASSOCIATES	NAITO ARCHITECT & ASSOCIATES

DAIKEN  SEKKEI	DAIKEN SEKKEI
DAIKEN ARCHITECTS ASSOCIATES	DAIKEN SEKKEI
DAIKEN SEKKEI, INC.	DAIKEN SEKKEI
DAIKEN ARCHITECTS ENGINEERS & CONSULTANTS	DAIKEN SEKKEI
DAIKEN Architects & Engineers	DAIKEN SEKKEI

RIA	RESEARCH INSTITUTE OF ARCHITECTURE

S. UCHII ARCHITACTS	S. UCHII ARCHITECT & ASSOCIATES
S.UCHII Architect and Associates	S. UCHII ARCHITECT & ASSOCIATES
S.UCHII ARCHITECTS	S. UCHII ARCHITECT & ASSOCIATES
SHOZO UCHII, Architect and Associates	S. UCHII ARCHITECT & ASSOCIATES
S UCIHI Architect & Associates	S. UCHII ARCHITECT & ASSOCIATES
UCHII ARCHITECT & ASSOCIATES	S. UCHII ARCHITECT & ASSOCIATES


SAKAKURA ASSOCIATES ARCHITECTS ARCHITECTS AND ENGINEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
SAKAKURA ASSOCIATES ARCH TECTS AND ENGINEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
SAKAKURA ASSOCIATES ARCHITECT AND ENGINEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
SAKAKURA ASSOCIATES ARCHITECTS & ENGINEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
SEIZO SAKATA	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS

TOHATA ARCHITECTS AND ENGINEERS	TOHATA ARCHITECTS & ENGINEERS
TOHATA & ASSOCIATES, ARCHITECTS	TOHATA ARCHITECTS & ENGINEERS
K. TOHATA & ASSOCIATES, ARCHITECTS	TOHATA ARCHITECTS & ENGINEERS

HISAO KOHYAMA ATELIER	KOHYAMA ATELIER
KOHYAMA ATEALIER	KOHYAMA ATELIER
KAJIMA	KAJIMA CORPORATION

toda construction	TODA CORPORATION

FUJIMORI TERUNOBU	TERUNOBU FUJIMORI

JUN AOKI&ASSOCIATES	JUN AOKI & ASSOCIATES

STUDIO ON	STUDIO ON SITE

MITSUBISHI ESTATE.CO.LTD. ARCHITECTURAL DESIGN & ENGINEERING OFFICE	MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE
MITSUBISHI ESTATE CO., LTD.	MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE
MITSUBISHI ESTATE	MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE
ALSED	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
ARCHITECTURAL LABORATORY FOR SYSTEMS， ENVIRONMENT  & DEVELOPMENT	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
AL SED ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
Alced Architectural Research Institute	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
ALSED ARCHITECTURAL LABORATORY	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
alced architectural institute	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
arsed architectural institute	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT

Nomura co.	NOMURA

FUJITA	FUJITA CORPORATION

SHIMIZU ARCHITECTS AND ENGINEERS	SHIMIZU CORPORATION

KAZUYO SEJIMA＋RYUE NISHIZAWA／SANAA	KAZUYO SEJIMA + RYUE NISHIZAWA / SANAA
KAZUYO SEJIMA＋RYUE NISHIZAWA ／ SANAA	KAZUYO SEJIMA + RYUE NISHIZAWA / SANAA
KAZUYO SEJIMA＋RYUE NISHIZAWA / SANAA	KAZUYO SEJIMA + RYUE NISHIZAWA / SANAA
KAZUYO SEJIMA + RYUE NISHIZAWA / SANNA	KAZUYO SEJIMA + RYUE NISHIZAWA / SANAA
OBAYASHI CORPORATION ARCHITECTS AND ENGINEERS	OBAYASHI CORPORATION


NIKKEN SEKKEI Planners Architects & Engineers	NIKKEN SEKKEI
Nikken Sekkei Osaka	NIKKEN SEKKEI, OSAKA OFFICE
Nikken Sekkei, Osaka	NIKKEN SEKKEI, OSAKA OFFICE
Nikken sekkei osaka head office	NIKKEN SEKKEI, OSAKA OFFICE

SHIN'ICHI OKADA ARCHITECT AND ASSOCIATES	OKADA & ASSOCIATES
SHINICHI OKADA AND ASSOCIATES	OKADA & ASSOCIATES
SHINICHI AND ASSOCIATES	OKADA & ASSOCIATES
SHINICHI OKADA Architect & Associates	OKADA & ASSOCIATES
OKADA & ASSOCIATES	OKADA & ASSOCIATES
shinichi okada design office	OKADA & ASSOCIATES

Kenzo Tange Urban and Architectural Design Institute	KENZO TANGE ASSOCIATES
Kenzo Tange Institute of Urban and Architectural Design	KENZO TANGE ASSOCIATES
KENZO TANGE ASSOCIATES Urbanists-Architects	KENZO TANGE ASSOCIATES
KENZO TANGE ASSOCIATES URBANISTS - ARCHITECTS	KENZO TANGE ASSOCIATES

KAZUYO SEJIMA AND ASSOCIATES	KAZUYO SEJIMA & ASSOCIATES

RUI SEKKEISHITU	RUI SEKKEISHITSU

TEZUKA ARCHITECTS	TAKAHARU TEZUKA＋YUI TEZUKA／TEZUKA ARCHITECTS
OFFICE OF KUMIKO INUI	INUI ARCHITECTS

