name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"RYO MATSUI ARCHITECTS",2,"松井亮建築都市設計事務所",1,6544,2932
"SUSUMU UNO / CAn",2,"宇野享／ CAn",1,6396,2846
"SUSUMU UNO / CAn",2,"宇野享／CAn",1,7871,3590
"ARCHITECTURAL PLANNING OFFICE， FACULTY OF ENGINEERING， CAMPUS PLANNING OFFICE＋FACILITIES DEPARTMENT， THE UNIVERSITY OF TOKYO",2,"東京大学キャンパス計画室（岸田省吾）東京大学キャンパス計画室・同施設部",1,6472,2886
"ARCHITECTURAL PLANNING OFFICE， FACULTY OF ENGINEERING， CAMPUS PLANNING OFFICE＋FACILITIES DEPARTMENT， THE UNIVERSITY OF TOKYO",2,"東京大学工学部建築計画室（岸田省吾）＋同キャンパス計画室・同施設部",1,6473,2887
"MASAHIRO IKEDA",2,"池田昌弘／MASAHIRO IKEDA co.，ltd",1,6508,2912
"MASAHIRO IKEDA",2,"池田昌弘",1,7834,3575
"YOKOHAMA NATIONAL UNIVERSITY DEPARTMENT OF ARCHITECTURE",2,"杉浦洋平 圓木裕基 横川天香／横浜国立大学",1,6545,2933
"YOKOHAMA NATIONAL UNIVERSITY DEPARTMENT OF ARCHITECTURE",2,"西高秀晃 二宮佑介 藤末萌／横浜国立大学",1,6785,3043
"ZAHA HADID ARCHITECTS",2,"ザハ・ハディッド アーキテクツ",1,6607,2966
"ZAHA HADID ARCHITECTS",2,"ザハ・ハディド アーキテクツ",1,7949,3641
"KAZUHIRO KOJIMA＋KAZUKO AKAMATSU／CAt",2,"小嶋一浩＋赤松佳珠子／CAt",1,6757,3032
"KAZUHIRO KOJIMA＋KAZUKO AKAMATSU／CAt",2,"小島一浩＋赤松佳珠子／CAt",1,8597,3993
"ADPI",2,"ADP Ingénierie（ADPI）",1,6828,3060
"ADPI",2,"ADPI Ingénierie（ADPI）",1,7465,3380
"KENTARO ATAKA ARCHITECTURAL DESIGN",2,"安宅研太郎／アタカケンタロウ建築計画事務所",1,6946,3125
"KENTARO ATAKA ARCHITECTURAL DESIGN",2,"アタカケンタロウ建築計画事務所",1,7321,3313
"FOR LIGHTS",2,"for Lights",1,6953,3127
"FOR LIGHTS",2,"フォーライツ",1,8227,3788
"KATSUHIRO MIYAMOTO & ASSOCIATES",2,"宮本佳明／宮本佳明建築設計事務所",1,6983,3142
"KATSUHIRO MIYAMOTO & ASSOCIATES",2,"宮本佳明建築設計事務所",1,7765,3546
"LOVE ARCHITECTURE",2,"浅利幸男／ラブアーキテクチャー",1,7036,3173
"LOVE ARCHITECTURE",2,"浅利幸男＋石毛正弘／ラブアーキテクチャー",1,8883,4146
"TAKESHI HOSAKA ARCHITECTS",2,"保坂猛建築都市設計事務所",1,7054,3182
"TAKESHI HOSAKA ARCHITECTS",2,"保坂猛／保坂猛建築都市設計事務所",1,8020,3676
"NEW MATERIAL RESEARCH LABORATORY",2,"新素材研究所 杉本博司＋榊田倫之",1,7069,3187
"NEW MATERIAL RESEARCH LABORATORY",2,"新素材研究所",1,9051,4244
"DAIKEN ARCHITECTS ASSOCIATES",2,"岐阜市まちづくり推進部公共建築課",1,7078,3190
"DAIKEN ARCHITECTS ASSOCIATES",2,"大建設計",1,8863,4136
"KYOTO INSTITUTE OF TECHNOLOGY DEPARTMENT OF ARCHITECTURAL DESIGN LAB",2,"京都工芸繊維大学住環境設計研究室",1,7097,3200
"KYOTO INSTITUTE OF TECHNOLOGY DEPARTMENT OF ARCHITECTURAL DESIGN LAB",2,"京都工芸繊維大学都市環境設計研究室",1,7098,3201
"KS ARCHITECTS",2,"K.ASSOCIATES/Architects",1,7097,3200
"KS ARCHITECTS",2,"Ks Architects",1,7098,3201
"ATELIER RYU",2,"龍環境計画",1,7109,3206
"ATELIER RYU",2,"内田文雄／龍環境計画",1,9211,4342
"URU",2,"ユー・アール・ユー総合研究所",1,7453,3372
"URU",2,"ユー･アール･ユー総合研究所",1,7577,3435
"TADASHI SUGA ARCHITECTS OFFICE",2,"菅匡史建築研究所",1,7498,3397
"TADASHI SUGA ARCHITECTS OFFICE",2,"環・設計工房",1,7603,3454
"＋NEW OFFICE",2,"瀬戸健似＋近藤創順／プラスニューオフィス",1,7576,3434
"＋NEW OFFICE",2,"プラスニューオフィス",1,9562,4558
